PBD_On_1_Off_0,alpha,w_smooth_acceleration, w_col,w_comfort,Cheby_1_Or_Euclidean_2, w_smooth_v, w_smooth_w,%_liked
0,0.998999,-0.006,4,0.006,2,-0.01,-0.1,0.6
1,0.998999,-0.006,4,0.006,2,-0.01,-0.1,0.4
1,0,-0.006,-4,0.006,2,-0.01,-0.01,0.2
1,0.9,-0.006,-4,0.006,2,-0.01,-0.01,0.27
1,0.998999,-0.006,-4,0.006,2,-0.01,-0.01,0.553
1,0.998999,0.006,-4,0.006,2,-0.01,-0.01,0.23
1,0.998999,0,-4,0.006,2,-0.01,-0.01,0.18
1,0.998999,-0.006,-4,0.006,2,-0.01,-0.01,0.59
1,0.998999,-0.006,-3,0.006,2,-0.01,-0.01,0.208
1,0.998999,-0.006,-4,0.006,2,-0.01,-0.01,0.604
1,0.998999,-0.006,-6,0.006,2,-0.01,-0.01,0.188
1,0.998999,-0.006,-4,0,2,-0.01,-0.01,0.3969
1,0.998999,-0.006,-4,0.01,2,-0.01,-0.01,0.375
1,0.998999,-0.006,-4,0.006,2,-0.01,-0.01,0.229
1,0.998999,-0.006,-4,0.006,1,-0.01,-0.01,0.234
1,0.998999,-0.006,-4,0.006,2,-0.01,-0.01,0.766
